branch,customer_name,order_id,order_sequence,line_index_in_order,item_name_normalized,line_qty,line_amount,customer_total_qty,customer_total_amount,is_sellable_item,report_generated_date,from_date,to_date,page_marker,source_file
Conut - Tyre,Person_0132,ORD-000004,4,1,"BROWNIES , (R)",1.0,0.0,9.0,2175864.86,False,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,ORD-000004,4,2,CONUT PISTACHIO,1.0,1013108.11,9.0,2175864.86,True,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,ORD-000004,4,3,CONUT TRIPLE CHOCOLATE,1.0,924378.38,9.0,2175864.86,True,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,ORD-000004,4,4,DELIVERY CHARGE,1.0,238378.38,9.0,2175864.86,False,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,ORD-000004,4,5,NO SPREAD,1.0,0.0,9.0,2175864.86,False,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,ORD-000004,4,6,NUTELLA SAUCE . (R),1.0,0.0,9.0,2175864.86,False,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,ORD-000004,4,7,PISTACHIO TOPPING,1.0,0.0,9.0,2175864.86,False,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,ORD-000004,4,8,"STRAWBERRY , (R)",1.0,0.0,9.0,2175864.86,False,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,ORD-000004,4,9,WHITE CHOCOLATE SPREAD CONUT,1.0,0.0,9.0,2175864.86,False,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0134,ORD-000006,6,1,DELIVERY CHARGE,1.0,238378.38,9.0,1372000.01,False,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0134,ORD-000006,6,2,MINI BERRY MIX,1.0,507216.22,9.0,1372000.01,True,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0134,ORD-000006,6,3,MINI PISTACHIO,1.0,626405.41,9.0,1372000.01,True,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0134,ORD-000006,6,4,NO SPREAD,1.0,0.0,9.0,1372000.01,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0134,ORD-000006,6,5,"NUTELLA SAUCE ,(R)",1.0,0.0,9.0,1372000.01,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0134,ORD-000006,6,6,NUTELLA SPREAD MINI,1.0,0.0,9.0,1372000.01,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0134,ORD-000006,6,7,PISTACHIO TOPPING,1.0,0.0,9.0,1372000.01,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0134,ORD-000006,6,8,STRAWBERRY .(R),1.0,0.0,9.0,1372000.01,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0134,ORD-000006,6,9,WHIPPED CREAM,1.0,0.0,9.0,1372000.01,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0135,ORD-000007,7,1,"CARAMEL SAUCE, (R)",1.0,0.0,6.0,1668648.64,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0135,ORD-000007,7,2,CHIMNEY THE ONE,1.0,1251486.48,6.0,1668648.64,True,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0135,ORD-000007,7,3,DELIVERY CHARGE,1.0,238378.38,6.0,1668648.64,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0135,ORD-000007,7,4,NUTELLA SAUCE,1.0,178783.78,6.0,1668648.64,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0135,ORD-000007,7,5,NUTELLA SPREAD CHIMNEY,1.0,0.0,6.0,1668648.64,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0135,ORD-000007,7,6,"STRAWBERRY,(R)",1.0,0.0,6.0,1668648.64,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0137,ORD-000009,9,1,CRISPY CREPE . (R),1.0,0.0,4.0,595945.95,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0137,ORD-000009,9,2,"CRUSHED LOTUS , (R)",1.0,0.0,4.0,595945.95,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0137,ORD-000009,9,3,"CRUSHED OREO, (R)",1.0,0.0,4.0,595945.95,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0137,ORD-000009,9,4,ICE CREAM BOWL,1.0,595945.95,4.0,595945.95,True,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut Jnah,0 Person_0017,ORD-000010,10,1,BROWNIES . (R),1.0,0.0,5.0,1549459.45,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut Jnah,0 Person_0017,ORD-000010,10,2,CHIMNEY TRIPLE CHOCOLATE,1.0,1311081.08,5.0,1549459.45,True,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut Jnah,0 Person_0017,ORD-000010,10,3,DELIVERY CHARGE,1.0,238378.38,5.0,1549459.45,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut Jnah,0 Person_0017,ORD-000010,10,4,"NUTELLA SAUCE,(R)",1.0,0.0,5.0,1549459.45,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut Jnah,0 Person_0017,ORD-000010,10,5,WHITE CHOCOLATE SPREAD CHIMNEY,1.0,0.0,5.0,1549459.45,False,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,ORD-000012,12,1,"CARAMEL SAUCE, (R)",1.0,0.0,8.0,2085810.81,False,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,ORD-000012,12,2,CHIMNEY THE ONE,1.0,1251486.48,8.0,2085810.81,True,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,ORD-000012,12,3,CLASSIC CHIMNEY,1.0,595945.95,8.0,2085810.81,True,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,ORD-000012,12,4,DELIVERY CHARGE,1.0,238378.38,8.0,2085810.81,False,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,ORD-000012,12,5,NUTELLA SPREAD CHIMNEY,2.0,0.0,8.0,2085810.81,False,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,ORD-000012,12,6,PRESSED,1.0,0.0,8.0,2085810.81,False,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,ORD-000012,12,7,"STRAWBERRY,(R)",1.0,0.0,8.0,2085810.81,False,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,ORD-000013,13,1,ADD ICE CREAM,1.0,476756.75,11.0,3277702.69,False,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,ORD-000013,13,2,CHIMNEY BERRY MIX,1.0,1251486.48,11.0,3277702.69,True,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,ORD-000013,13,3,CHIMNEY BOSTON CHEESECAKE,1.0,1311081.08,11.0,3277702.69,True,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,ORD-000013,13,4,CRUSHED LOTUS .(R),1.0,0.0,11.0,3277702.69,False,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,ORD-000013,13,5,DELIVERY CHARGE,1.0,238378.38,11.0,3277702.69,False,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,ORD-000013,13,6,ICE CREAM ON THE SIDE,1.0,0.0,11.0,3277702.69,False,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,ORD-000013,13,7,NO SPREAD,1.0,0.0,11.0,3277702.69,False,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,ORD-000013,13,8,"NUTELLA SAUCE,(R)",1.0,0.0,11.0,3277702.69,False,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,ORD-000013,13,9,NUTELLA SPREAD CHIMNEY,1.0,0.0,11.0,3277702.69,False,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,ORD-000013,13,10,"STRAWBERRY,(R)",1.0,0.0,11.0,3277702.69,False,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,ORD-000013,13,11,WHIPPED CREAM,1.0,0.0,11.0,3277702.69,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0021,ORD-000014,14,1,BROWNIES . (R),1.0,0.0,13.0,4112027.03,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0021,ORD-000014,14,2,CHIMNEY THE ONE,1.0,1251486.48,13.0,4112027.03,True,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0021,ORD-000014,14,3,CHIMNEY TRIPLE CHOCOLATE,1.0,1311081.08,13.0,4112027.03,True,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0021,ORD-000014,14,4,CONUT BITES,2.0,1311081.1,13.0,4112027.03,True,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0021,ORD-000014,14,5,DARK CHOCOLATE DIP.(R),1.0,0.0,13.0,4112027.03,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0021,ORD-000014,14,6,DELIVERY CHARGE,1.0,238378.38,13.0,4112027.03,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0021,ORD-000014,14,7,LOTUS DIP.(R),1.0,0.0,13.0,4112027.03,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0021,ORD-000014,14,8,NO SPREAD,1.0,0.0,13.0,4112027.03,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0021,ORD-000014,14,9,NO TOPPINGS,1.0,0.0,13.0,4112027.03,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0021,ORD-000014,14,10,"NUTELLA SAUCE,(R)",1.0,0.0,13.0,4112027.03,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0021,ORD-000014,14,11,"STRAWBERRY,(R)",1.0,0.0,13.0,4112027.03,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0021,ORD-000014,14,12,WHITE CHOCOLATE SPREAD CHIMNEY,1.0,0.0,13.0,4112027.03,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0022,ORD-000015,15,1,"BROWNIES , (R)",1.0,0.0,13.0,3308162.16,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0022,ORD-000015,15,2,CHIMNEY BERRY MIX,1.0,1251486.48,13.0,3308162.16,True,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0022,ORD-000015,15,3,CONUT THE ONE,1.0,893918.92,13.0,3308162.16,True,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0022,ORD-000015,15,4,CONUT TRIPLE CHOCOLATE,1.0,924378.38,13.0,3308162.16,True,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0022,ORD-000015,15,5,"CRUSHED LOTUS , (R)",1.0,0.0,13.0,3308162.16,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0022,ORD-000015,15,6,DELIVERY CHARGE,1.0,238378.38,13.0,3308162.16,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0022,ORD-000015,15,7,NUTELLA SAUCE . (R),2.0,0.0,13.0,3308162.16,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0022,ORD-000015,15,8,"NUTELLA SAUCE,(R)",1.0,0.0,13.0,3308162.16,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0022,ORD-000015,15,9,NUTELLA SPREAD CHIMNEY,1.0,0.0,13.0,3308162.16,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0022,ORD-000015,15,10,NUTELLA SPREAD CONUT,1.0,0.0,13.0,3308162.16,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0022,ORD-000015,15,11,WHIPPED CREAM,1.0,0.0,13.0,3308162.16,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0022,ORD-000015,15,12,WHITE CHOCOLATE SPREAD CONUT,1.0,0.0,13.0,3308162.16,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0023,ORD-000016,16,1,BROWNIES . (R),2.0,0.0,10.0,2920135.13,False,30-Jan-26,01-Jan-2026,30-Jan-2026,6/63,REP_S_00502.csv
Conut Jnah,0 Person_0023,ORD-000016,16,2,"CARAMEL SAUCE, (R)",1.0,0.0,10.0,2920135.13,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0023,ORD-000016,16,3,CHIMNEY THE ONE,2.0,2502972.96,10.0,2920135.13,True,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0023,ORD-000016,16,4,DELIVERY CHARGE,1.0,238378.38,10.0,2920135.13,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0023,ORD-000016,16,5,"LOTUS SAUCE,(R)",1.0,0.0,10.0,2920135.13,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0023,ORD-000016,16,6,NUTELLA SPREAD CHIMNEY,2.0,0.0,10.0,2920135.13,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0023,ORD-000016,16,7,STRAWBERRY,1.0,178783.78,10.0,2920135.13,True,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0024,ORD-000017,17,1,BROWNIES . (R),1.0,0.0,5.0,1549459.45,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0024,ORD-000017,17,2,CHIMNEY TRIPLE CHOCOLATE,1.0,1311081.08,5.0,1549459.45,True,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0024,ORD-000017,17,3,DELIVERY CHARGE,1.0,238378.38,5.0,1549459.45,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0024,ORD-000017,17,4,"NUTELLA SAUCE,(R)",1.0,0.0,5.0,1549459.45,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0024,ORD-000017,17,5,WHITE CHOCOLATE SPREAD CHIMNEY,1.0,0.0,5.0,1549459.45,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0025,ORD-000018,18,1,CLASSIC CHIMNEY,2.0,1191891.9,7.0,1430270.28,True,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0025,ORD-000018,18,2,DELIVERY CHARGE,1.0,238378.38,7.0,1430270.28,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0025,ORD-000018,18,3,REGULAR,2.0,0.0,7.0,1430270.28,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0025,ORD-000018,18,4,WHITE CHOCOLATE SPREAD CHIMNEY,2.0,0.0,7.0,1430270.28,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,1,BOSTON CHEESECAKE MINI,1.0,0.0,17.0,5065540.53,True,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,2,BROWNIES . (R),2.0,0.0,17.0,5065540.53,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,3,CHIMNEY THE ONE,1.0,1251486.48,17.0,5065540.53,True,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,4,CHIMNEY TRIPLE CHOCOLATE,1.0,1311081.08,17.0,5065540.53,True,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,5,CRUSHED OREO .(R),1.0,0.0,17.0,5065540.53,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,6,DELIVERY CHARGE,2.0,476756.76,17.0,5065540.53,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,7,NO SPREAD,1.0,0.0,17.0,5065540.53,False,30-Jan-26,01-Jan-2026,30-Jan-2026,7/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,8,NUTELLA SAUCE,1.0,178783.78,17.0,5065540.53,False,30-Jan-26,01-Jan-2026,30-Jan-2026,8/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,9,"NUTELLA SAUCE,(R)",1.0,0.0,17.0,5065540.53,False,30-Jan-26,01-Jan-2026,30-Jan-2026,8/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,10,PISTACHIO MINI,1.0,0.0,17.0,5065540.53,True,30-Jan-26,01-Jan-2026,30-Jan-2026,8/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,11,STRAWBERRY,1.0,178783.78,17.0,5065540.53,True,30-Jan-26,01-Jan-2026,30-Jan-2026,8/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,12,THE ONE MINI,1.0,0.0,17.0,5065540.53,True,30-Jan-26,01-Jan-2026,30-Jan-2026,8/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,13,THE SHARING BOX,1.0,1668648.66,17.0,5065540.53,False,30-Jan-26,01-Jan-2026,30-Jan-2026,8/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,14,TRIPLE CHOCOLATE MINI,1.0,0.0,17.0,5065540.53,True,30-Jan-26,01-Jan-2026,30-Jan-2026,8/63,REP_S_00502.csv
Conut Jnah,0 Person_0026,ORD-000019,19,15,WHITE CHOCOLATE SPREAD CHIMNEY,1.0,0.0,17.0,5065540.53,False,30-Jan-26,01-Jan-2026,30-Jan-2026,8/63,REP_S_00502.csv
Conut Jnah,0 Person_0027,ORD-000020,20,1,CONUT BERRY MIX,1.0,893918.92,5.0,1132297.3,True,30-Jan-26,01-Jan-2026,30-Jan-2026,8/63,REP_S_00502.csv
Conut Jnah,0 Person_0027,ORD-000020,20,2,DELIVERY CHARGE,1.0,238378.38,5.0,1132297.3,False,30-Jan-26,01-Jan-2026,30-Jan-2026,8/63,REP_S_00502.csv
Conut Jnah,0 Person_0027,ORD-000020,20,3,NUTELLA SAUCE . (R),1.0,0.0,5.0,1132297.3,False,30-Jan-26,01-Jan-2026,30-Jan-2026,8/63,REP_S_00502.csv
Conut Jnah,0 Person_0027,ORD-000020,20,4,NUTELLA SPREAD CONUT,1.0,0.0,5.0,1132297.3,False,30-Jan-26,01-Jan-2026,30-Jan-2026,8/63,REP_S_00502.csv
Conut Jnah,0 Person_0027,ORD-000020,20,5,WHIPPED CREAM,1.0,0.0,5.0,1132297.3,False,30-Jan-26,01-Jan-2026,30-Jan-2026,8/63,REP_S_00502.csv
