branch,customer_name,line_qty,item_description,line_amount,customer_total_qty,customer_total_amount,order_id,order_sequence,line_index_in_order,report_generated_date,from_date,to_date,page_marker,source_file
Conut - Tyre,Person_0131,1.0,FULL FAT MILK,0.0,19.0,2979729.72,ORD-000003,3,7,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,MOCHA FRAPPE,536351.34,19.0,2979729.72,ORD-000003,3,8,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,MOCHA FRAPPE,536351.34,19.0,2979729.72,ORD-000003,3,9,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,NO TOPPINGS.,0.0,19.0,2979729.72,ORD-000003,3,10,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,NUTELLA SPREAD CHIMNEY.,0.0,19.0,2979729.72,ORD-000003,3,11,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,NUTELLA SPREAD CONUT.,0.0,19.0,2979729.72,ORD-000003,3,12,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,PRESSED,0.0,19.0,2979729.72,ORD-000003,3,13,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,REGULAR.,0.0,19.0,2979729.72,ORD-000003,3,14,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,REGULAR.,0.0,19.0,2979729.72,ORD-000003,3,15,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,"STRAWBERRY , (R)",0.0,19.0,2979729.72,ORD-000003,3,16,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,STRAWBERRY.,178783.78,19.0,2979729.72,ORD-000003,3,17,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,WHIPPED CREAM...,0.0,19.0,2979729.72,ORD-000003,3,18,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,WHIPPED CREAM...,0.0,19.0,2979729.72,ORD-000003,3,19,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,1.0,"BROWNIES , (R)",0.0,9.0,2175864.86,ORD-000004,4,1,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,1.0,CONUT PISTACHIO,1013108.11,9.0,2175864.86,ORD-000004,4,2,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,1.0,CONUT TRIPLE CHOCOLATE,924378.38,9.0,2175864.86,ORD-000004,4,3,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,1.0,DELIVERY CHARGE,238378.38,9.0,2175864.86,ORD-000004,4,4,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,1.0,NO SPREAD..,0.0,9.0,2175864.86,ORD-000004,4,5,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,1.0,NUTELLA SAUCE . (R),0.0,9.0,2175864.86,ORD-000004,4,6,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,1.0,PISTACHIO TOPPING,0.0,9.0,2175864.86,ORD-000004,4,7,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,1.0,"STRAWBERRY , (R)",0.0,9.0,2175864.86,ORD-000004,4,8,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0132,1.0,WHITE CHOCOLATE SPREAD CONUT.,0.0,9.0,2175864.86,ORD-000004,4,9,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,BROWNIES . (R),0.0,0.0,0.0,ORD-000005,5,1,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,BROWNIES . (R),0.0,0.0,0.0,ORD-000005,5,2,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,"CARAMEL SAUCE, (R)",0.0,0.0,0.0,ORD-000005,5,3,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,"CARAMEL SAUCE, (R)",0.0,0.0,0.0,ORD-000005,5,4,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,"CARAMEL SAUCE, (R)",0.0,0.0,0.0,ORD-000005,5,5,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,"CARAMEL SAUCE, (R)",0.0,0.0,0.0,ORD-000005,5,6,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,CHIMNEY BERRY MIX,-1251486.48,0.0,0.0,ORD-000005,5,7,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,CHIMNEY BERRY MIX,1251486.48,0.0,0.0,ORD-000005,5,8,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,CHIMNEY THE ONE,1251486.48,0.0,0.0,ORD-000005,5,9,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,CHIMNEY THE ONE,1251486.48,0.0,0.0,ORD-000005,5,10,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,CHIMNEY THE ONE,-1251486.48,0.0,0.0,ORD-000005,5,11,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,CHIMNEY THE ONE,-1251486.48,0.0,0.0,ORD-000005,5,12,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,CHIMNEY TRIPLE CHOCOLATE,-1311081.08,0.0,0.0,ORD-000005,5,13,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,CHIMNEY TRIPLE CHOCOLATE,1311081.08,0.0,0.0,ORD-000005,5,14,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,CLASSIC CHIMNEY,595945.95,0.0,0.0,ORD-000005,5,15,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,CLASSIC CHIMNEY,595945.95,0.0,0.0,ORD-000005,5,16,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,CLASSIC CHIMNEY,-595945.95,0.0,0.0,ORD-000005,5,17,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,CLASSIC CHIMNEY,-595945.95,0.0,0.0,ORD-000005,5,18,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,DELIVERY CHARGE,-238378.38,0.0,0.0,ORD-000005,5,19,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,DELIVERY CHARGE,238378.38,0.0,0.0,ORD-000005,5,20,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,NO SPREAD,0.0,0.0,0.0,ORD-000005,5,21,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,NO SPREAD,0.0,0.0,0.0,ORD-000005,5,22,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,NO SPREAD,0.0,0.0,0.0,ORD-000005,5,23,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,NO SPREAD,0.0,0.0,0.0,ORD-000005,5,24,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,"NUTELLA SAUCE,(R)",0.0,0.0,0.0,ORD-000005,5,25,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,"NUTELLA SAUCE,(R)",0.0,0.0,0.0,ORD-000005,5,26,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,"NUTELLA SAUCE,(R)",0.0,0.0,0.0,ORD-000005,5,27,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,"NUTELLA SAUCE,(R)",0.0,0.0,0.0,ORD-000005,5,28,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,NUTELLA SPREAD CHIMNEY.,0.0,0.0,0.0,ORD-000005,5,29,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,NUTELLA SPREAD CHIMNEY.,0.0,0.0,0.0,ORD-000005,5,30,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,NUTELLA SPREAD CHIMNEY.,0.0,0.0,0.0,ORD-000005,5,31,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,NUTELLA SPREAD CHIMNEY.,0.0,0.0,0.0,ORD-000005,5,32,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,NUTELLA SPREAD CHIMNEY.,0.0,0.0,0.0,ORD-000005,5,33,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,NUTELLA SPREAD CHIMNEY.,0.0,0.0,0.0,ORD-000005,5,34,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,PRESSED,0.0,0.0,0.0,ORD-000005,5,35,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,PRESSED,0.0,0.0,0.0,ORD-000005,5,36,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,PRESSED,0.0,0.0,0.0,ORD-000005,5,37,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,PRESSED,0.0,0.0,0.0,ORD-000005,5,38,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,"STRAWBERRY,(R)",0.0,0.0,0.0,ORD-000005,5,39,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,"STRAWBERRY,(R)",0.0,0.0,0.0,ORD-000005,5,40,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,"STRAWBERRY,(R)",0.0,0.0,0.0,ORD-000005,5,41,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,"STRAWBERRY,(R)",0.0,0.0,0.0,ORD-000005,5,42,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,"WHIPPED CREAM ,",0.0,0.0,0.0,ORD-000005,5,43,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,"WHIPPED CREAM ,",0.0,0.0,0.0,ORD-000005,5,44,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.0,0.0,0.0,ORD-000005,5,45,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0133,-1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.0,0.0,0.0,ORD-000005,5,46,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0134,1.0,DELIVERY CHARGE,238378.38,9.0,1372000.01,ORD-000006,6,1,30-Jan-26,01-Jan-2026,30-Jan-2026,3/63,REP_S_00502.csv
Conut - Tyre,Person_0134,1.0,MINI BERRY MIX,507216.22,9.0,1372000.01,ORD-000006,6,2,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0134,1.0,MINI PISTACHIO,626405.41,9.0,1372000.01,ORD-000006,6,3,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0134,1.0,"NO SPREAD,.",0.0,9.0,1372000.01,ORD-000006,6,4,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0134,1.0,"NUTELLA SAUCE ,(R)",0.0,9.0,1372000.01,ORD-000006,6,5,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0134,1.0,NUTELLA SPREAD MINI.,0.0,9.0,1372000.01,ORD-000006,6,6,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0134,1.0,PISTACHIO TOPPING.,0.0,9.0,1372000.01,ORD-000006,6,7,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0134,1.0,STRAWBERRY .(R),0.0,9.0,1372000.01,ORD-000006,6,8,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0134,1.0,WHIPPED CREAM .,0.0,9.0,1372000.01,ORD-000006,6,9,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0135,1.0,"CARAMEL SAUCE, (R)",0.0,6.0,1668648.64,ORD-000007,7,1,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0135,1.0,CHIMNEY THE ONE,1251486.48,6.0,1668648.64,ORD-000007,7,2,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0135,1.0,DELIVERY CHARGE,238378.38,6.0,1668648.64,ORD-000007,7,3,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0135,1.0,NUTELLA SAUCE.,178783.78,6.0,1668648.64,ORD-000007,7,4,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0135,1.0,NUTELLA SPREAD CHIMNEY.,0.0,6.0,1668648.64,ORD-000007,7,5,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0135,1.0,"STRAWBERRY,(R)",0.0,6.0,1668648.64,ORD-000007,7,6,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0136,1.0,WATER,79459.45,1.0,79459.45,ORD-000008,8,1,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0137,1.0,CRISPY CREPE . (R),0.0,4.0,595945.95,ORD-000009,9,1,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0137,1.0,"CRUSHED LOTUS , (R)",0.0,4.0,595945.95,ORD-000009,9,2,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0137,1.0,"CRUSHED OREO, (R)",0.0,4.0,595945.95,ORD-000009,9,3,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut - Tyre,Person_0137,1.0,ICE CREAM BOWL,595945.95,4.0,595945.95,ORD-000009,9,4,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut Jnah,0 Person_0017,1.0,BROWNIES . (R),0.0,5.0,1549459.45,ORD-000010,10,1,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut Jnah,0 Person_0017,1.0,CHIMNEY TRIPLE CHOCOLATE,1311081.08,5.0,1549459.45,ORD-000010,10,2,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut Jnah,0 Person_0017,1.0,DELIVERY CHARGE,238378.38,5.0,1549459.45,ORD-000010,10,3,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut Jnah,0 Person_0017,1.0,"NUTELLA SAUCE,(R)",0.0,5.0,1549459.45,ORD-000010,10,4,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut Jnah,0 Person_0017,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.0,5.0,1549459.45,ORD-000010,10,5,30-Jan-26,01-Jan-2026,30-Jan-2026,4/63,REP_S_00502.csv
Conut Jnah,0 Person_0018,1.0,BOSTON CHEESECAKE MINI,0.0,0.0,0.0,ORD-000011,11,1,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0018,-1.0,BOSTON CHEESECAKE MINI,0.0,0.0,0.0,ORD-000011,11,2,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0018,-1.0,DELIVERY CHARGE,-238378.38,0.0,0.0,ORD-000011,11,3,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0018,1.0,DELIVERY CHARGE,238378.38,0.0,0.0,ORD-000011,11,4,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0018,1.0,PISTACHIO MINI,0.0,0.0,0.0,ORD-000011,11,5,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0018,-1.0,PISTACHIO MINI,0.0,0.0,0.0,ORD-000011,11,6,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0018,-1.0,THE ONE MINI,0.0,0.0,0.0,ORD-000011,11,7,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0018,1.0,THE ONE MINI,0.0,0.0,0.0,ORD-000011,11,8,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0018,1.0,THE SHARING BOX.,1668648.66,0.0,0.0,ORD-000011,11,9,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0018,-1.0,THE SHARING BOX.,-1668648.66,0.0,0.0,ORD-000011,11,10,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0018,-1.0,TRIPLE CHOCOLATE MINI,0.0,0.0,0.0,ORD-000011,11,11,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0018,1.0,TRIPLE CHOCOLATE MINI,0.0,0.0,0.0,ORD-000011,11,12,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,1.0,"CARAMEL SAUCE, (R)",0.0,8.0,2085810.81,ORD-000012,12,1,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,1.0,CHIMNEY THE ONE,1251486.48,8.0,2085810.81,ORD-000012,12,2,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,1.0,CLASSIC CHIMNEY,595945.95,8.0,2085810.81,ORD-000012,12,3,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,1.0,DELIVERY CHARGE,238378.38,8.0,2085810.81,ORD-000012,12,4,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,1.0,NUTELLA SPREAD CHIMNEY.,0.0,8.0,2085810.81,ORD-000012,12,5,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,1.0,NUTELLA SPREAD CHIMNEY.,0.0,8.0,2085810.81,ORD-000012,12,6,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,1.0,PRESSED,0.0,8.0,2085810.81,ORD-000012,12,7,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0019,1.0,"STRAWBERRY,(R)",0.0,8.0,2085810.81,ORD-000012,12,8,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,1.0,ADD ICE CREAM,476756.75,11.0,3277702.69,ORD-000013,13,1,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,1.0,CHIMNEY BERRY MIX,1251486.48,11.0,3277702.69,ORD-000013,13,2,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,1.0,CHIMNEY BOSTON CHEESECAKE,1311081.08,11.0,3277702.69,ORD-000013,13,3,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
Conut Jnah,0 Person_0020,1.0,CRUSHED LOTUS .(R),0.0,11.0,3277702.69,ORD-000013,13,4,30-Jan-26,01-Jan-2026,30-Jan-2026,5/63,REP_S_00502.csv
